name,iso3c,region_sdg,region_geo,grp_income,grp_develop,pop,births,tfr,sex_ratio,deaths,e0,imr,net
Anguilla,AIA,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,14410,130,1.364,103.6,96,79.311,4.858,200
Antigua and Barbuda,ATG,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,93316,1106,1.578,103.2,643,77.598,7.475,0
Aruba,ABW,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,107939,1020,1.602,104.3,1034,76.353,11.977,147
Bahamas,BHS,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,399440,4335,1.373,102.8,3480,74.552,10.946,1000.9999999999999
Barbados,BRB,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,282336,3155,1.708,103.5,2996,76.178,9.392,-80
"Bonaire, Sint Eustatius and Saba",BES,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,29898,280,1.473,105,258,77.436,11.01,820
British Virgin Islands,VGB,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,38985,325,1.045,105.3,233,77.276,11.048,587
Cayman Islands,CYM,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,73038,865,1.531,103.6,351,80.358,1.111,921
Cuba,CUB,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,11019931,95938,1.439,107.1,111819,78.085,4.363,-22797
Curaçao,CUW,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,185427,1394,1.073,104.7,1844,76.8,8.605,518
Dominica,DMA,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,66510,738,1.484,103.6,849,71.132,27.739,-199
Dominican Republic,DOM,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,11331265,203183,2.243,104.4,70823,73.72,25.626,-34915
Grenada,GRD,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,117081,1371,1.487,104,1037,75.205,13.111,-190
Guadeloupe,GLP,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,376517,4233,2.089,103.4,3560,82.05,7.557,-2192
Haiti,HTI,Latin America and the Caribbean,Latin America and the Caribbean,lower-middle,less-least,11637398,258348,2.656,103,90966,64.936,43.374,-31786
Jamaica,JAM,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,2839786,33007,1.358,103.9,22933,71.479,15.904,-10003
Martinique,MTQ,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,346002,3728,2.009,102.6,3502,82.565,7.323,-3078
Montserrat,MSR,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,4420,39,1.444,104.3,60,76.186,5.338,-12
Puerto Rico,PRI,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,3242023,18851,0.941,105.2,34664,81.69,5.183,19833
Saint Barthélemy,BLM,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,11085,53,0.801,104,70,84.29,5.26,200
Saint Kitts and Nevis,KNA,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,46758,549,1.505,103.7,466,72.145,12.638,0
Saint Lucia,LCA,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,179285,2019.0000000000002,1.379,103.1,1544,72.697,14.365,0
Saint Martin (French part),MAF,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,27515,470,2.718,104,255,80.224,8.347,-1697
