name,iso3c,region_sdg,region_geo,grp_income,grp_develop,pop,growth_rate,tfr,sex_ratio,e0,imr,net
Sint Maarten (Dutch part),SXM,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,42.749,1.436,1.447,103.9,76.371,12.846,0.567
Trinidad and Tobago,TTO,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,1502.932,0.376,1.532,104.1,73.49,13.516,2.126
Turks and Caicos Islands,TCA,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,46.198,0.745,1.463,104.9,78.008,4.773,0.193
United States Virgin Islands,VIR,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,85.701,-0.929,2.09,103.9,75.472,4.946,-0.444
Belize,BLZ,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,411.106,1.455,2.007,105.2,73.566,8.706,0.595
Costa Rica,CRI,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,5105.525,0.492,1.33,104.5,80.799,6.494,0.995
El Salvador,SLV,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,6309.624,0.455,1.775,104.8,72.099,9.509,-23.253
Guatemala,GTM,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,18124.838,1.549,2.311,103.9,72.602,17.643,-8.94
Honduras,HND,Latin America and the Caribbean,Latin America and the Caribbean,lower-middle,less,10644.851,1.701,2.5,105.1,72.884,12.954,-5.044
Mexico,MEX,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,129739.759,0.877,1.91,103.9,75.069,10.347,-101.044
Nicaragua,NIC,Latin America and the Caribbean,Latin America and the Caribbean,lower-middle,less,6823.613,1.362,2.218,103.5,74.947,12.262,-7.996
Panama,PAN,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,4458.759,1.289,2.119,105.4,79.594,12.561,7.262
Argentina,ARG,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,45538.401,0.349,1.5,105.1,77.395,8.98,4.133
Bolivia (Plurinational State of),BOL,Latin America and the Caribbean,Latin America and the Caribbean,lower-middle,less,12244.159,1.383,2.547,104.2,68.581,31.822,-3.008
Brazil,BRA,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,211140.729,0.411,1.619,104.5,75.848,12.052,-240.059
Chile,CHL,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,19658.835,0.566,1.167,104.3,81.167,4.139,62.679
Colombia,COL,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,52321.152,1.103,1.645,104.5,77.725,9.835,154.521
Ecuador,ECU,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,17980.083,0.868,1.823,104.7,77.392,9.649,-21.948
Falkland Islands (Malvinas),FLK,Latin America and the Caribbean,Latin America and the Caribbean,NA,less,3.477,-0.374,1.685,103,79.213,9.169,-0.021
French Guiana,GUF,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,303.402,1.687,3.388,103.6,76.978,8.919,-1.091
Guyana,GUY,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,826.353,0.552,2.412,103.7,70.18,21.338,-6.161
Paraguay,PRY,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,6844.146,1.245,2.422,105,73.844,13.976,-12.5
Peru,PER,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,33845.617,1.118,1.98,104.1,77.74,11.689,24.783
Suriname,SUR,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,628.886,0.909,2.249,104,73.631,14.105,-0.988
Uruguay,URY,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,3388.081,-0.036,1.409,105.5,78.138,5.599,-1.501
Venezuela (Bolivarian Republic of),VEN,Latin America and the Caribbean,Latin America and the Caribbean,NA,less,28300.854,0.354,2.079,105.3,72.514,15.71,-112.899
Bermuda,BMU,Europe and Northern America,Northern America,upper,more,64.698,-0.08,1.401,104,82.309,1.981,0
Canada,CAN,Europe and Northern America,Northern America,upper,more,39299.105,1.218,1.349,105.5,82.63,4.264,433.842
Greenland,GRL,Europe and Northern America,Northern America,upper,more,55.922,-0.141,1.95,105,70.055,9.894,-0.318
Saint Pierre and Miquelon,SPM,Europe and Northern America,Northern America,upper,more,5.681,-0.968,1.267,105.4,76.758,8.148,0
United States of America,USA,Europe and Northern America,Northern America,upper,more,343477.335,0.584,1.624,104.9,79.304,5.282,1322.668
